code;label;department;ca_ht;ca_ttc;quantity;avg_weekly_quantity;nb_lines;cumulative_pct;is_priority_80
100028020;SUCRE MCX BLC 1KG SODIMA;SUCRES MORCEAUX BLANC;202909968.0;239434000.0;260208.0;7087.377;593;10.88;True
100313532;BOISS ENERG 25CL CODY S;ENERGETIQUES(atlon...);58166086.0;68635500.0;188079.0;5122.774;2150;14.0;True
100025051;SUCRE PDRE ROUX SCHT 1KG SUCAF;SUCRE SEMOULE ROUX;48895645.0;57698025.0;72310.0;1969.533;2852;16.63;True
100144265;FRUITS & LEGUMES;GENERIQUE FRUITS& LEGUME2;46614326.0;46614326.0;20468547.0;557509.062;36206;19.13;True
100017247;SUCRE PDRE BLC SCHT 1KG SUCAF;SUCRES SEMOULE BLANC;43198269.0;50972163.0;60548.0;1649.167;1562;21.44;True
100328033;HUIL VEGET 25L AYA;HUILES PALM VEGETALE;35174298.0;41506000.0;1630.0;44.397;279;23.33;True
D60700100100;ABONEMENT CANAL HORI 0077;ABONEMENT CANAL HORI 0077;34663035.0;40842000.0;188.0;5.121;190;25.19;True
100144628;FROMAGE COUPE LS;GENERIQUE FROMAGE COUPE 2;17002096.0;20062487.0;749002.0;20400.833;3466;26.1;True
017017573;HUIL VEGET 20L DINOR;HUILES PALM VEGETALE;16988301.0;20046325.0;955.0;26.012;288;27.01;True
100144304;CHARCUTERIE PESEE;GENERIQUE CHARCUT  COUPE2;16681583.0;19684328.0;6057707.0;164995.911;7260;27.91;True
100578036;LAIT CS 1KG BLEU BONNET RGE;LAIT CONCENTRE SUCRE;14264126.0;15545000.0;6225.0;169.553;477;28.67;True
D10130999999;GENERIQUE EPICERIE   1576;GENERIQUE EPICERIE   1576;13379406.0;15774648.0;11991.0;326.603;4564;29.39;True
030002262;BOISS GAZ BTE 33CL COCA COLA;COLAS (coca cola pepsi..);13152641.0;15518950.0;49760.0;1355.331;1522;30.1;True
100306691;RIZ RIZIERE LG VIET PARF 5KG;RIZ LONG 0% BRISURE;12722492.0;12722492.0;3706.0;100.942;664;30.78;True
100407096;CROQ CHN MANGINE 20KG VINCENT;ALIMENTS SECS CHIENS;12576695.0;14840500.0;780.0;21.245;264;31.45;True
100438049;BIERE CITRUS VODKA TAST 5,9% CODY'S;BIERE BLONDE LOCAL BLLE;12013978.0;14176800.0;30036.0;818.101;414;32.1;True
100144323;BOUCHERIE;GENERIQUE BOUCHERIE;11556861.0;13637136.0;7628872.0;207790.288;5264;32.72;True
100174738;BIERE BLNDE LAGER 25CL BEAUFORT;BIERE BLONDE IMPORT BLLE;10400041.0;12272150.0;26657.0;726.066;589;33.27;True
100313542;BIERE BLNDE 5,4% CANS 50CL CODY S;BIERE BLONDE LOCAL BLLE;10250978.0;12096250.0;28375.0;772.86;595;33.82;True
100045267;LAIT C N S 150G BONNET ROUGE;LAIT CONCENTRE NON SUCRE;9455624.0;10306051.0;21267.0;579.257;558;34.33;True
019019001;SUCRE MRCX BLANC1KG SUCAF;SUCRES MORCEAUX BLANC;9268007.0;10937500.0;11697.0;318.595;862;34.83;True
031010401;BIERE BLDE VP BTLE 25CL HEINEKEN;BIERE BLONDE IMPORT BLLE;8291967.0;9785196.0;19574.0;533.144;537;35.27;True
100094244;RIZ VIET LG 5% MAMAN 5KG;RIZ 5% BRISURE;7153100.0;7153100.0;2147.0;58.479;434;35.66;True
100065854;BIERE  50CL BTE HEINEKEN;BIERE BLONDE IMPORT BLLE;6499075.0;7669050.0;9881.0;269.132;411;36.01;True
100355369;HUIL VEGETAL 10L AYA;HUILES PALM VEGETALE;6423086.0;7579500.0;723.0;19.693;167;36.35;True
100517663;BIERE BUDWEISER BTLLE 33CL SOLIBRA;BIERE BLONDE IMPORT BLLE;5836024.0;6886400.0;11100.0;302.335;241;36.66;True
100067293;LAIT UHT 1/2 ECR BR 1L LT DE FRANCE;LAIT LIQUIDE � ECREME;5712517.0;6227750.0;9674.0;263.494;1396;36.97;True
D10105999999;GENERIQUE LIQUIDE    1572;GENERIQUE LIQUIDE    1572;5601216.0;6609924.0;6209.0;169.117;1796;37.27;True
037080070;WHISKY J WLKR BLCK LAB 12ANS;WHISKY BLENDED ECOSSAIS;5584553.0;6589800.0;242.0;6.591;188;37.57;True
100170342;EAU SOURC 1,5L CRISTALINE;EAUX DE SOURCE PLATES IMP;5381414.0;6355550.0;21089.0;574.409;1749;37.86;True
100313547;BOISS MALT 0% 33CL CODY S;PANACHES;5373723.0;6340950.0;18675.0;508.658;187;38.15;True
D20215999999;GENERIQUE CREMERIE 2;GENERIQUE CREMERIE 2;5276956.0;6214511.0;9132.0;248.732;3697;38.43;True
100088297;BOISS GAZ BTE 33CL ORANGINA;ORANGE (fanta,,,);4821431.0;5687800.0;16652.0;453.556;1415;38.69;True
017017561;HUIL VEGET 90CL DINOR;HUILES PALM VEGETALE;4795583.0;5658605.0;5044.0;137.385;829;38.95;True
100186420;BOISS GAZ ZERO BTE 33CL COCA COLA;COLAS (coca cola pepsi..);4774203.0;5633500.0;17620.0;479.922;662;39.2;True
100217580;HUIL PALM 5L DINOR;HUILES PALM VEGETALE;4688898.0;5533400.0;928.0;25.276;470;39.45;True
030002310;BITTER PACK 6X10CL SAN PELLEGRINO;BOISSON FRUITS GAZEUSES;4514351.0;5326992.0;1281.0;34.891;405;39.7;True
D20210999999;GENERIQUE FRUITS& LEGUME2;GENERIQUE FRUITS& LEGUME2;4484529.0;4551067.0;2969.0;80.868;2874;39.94;True
030001251;BOISS GAZ BTE 33CL SPRITE;LIMES (sevem up sprite..);4466196.0;5269718.0;18376.0;500.514;708;40.18;True
100135091;EAU MIN NAT PET 1,5L CELESTE;EAUX MINERALES PLATES IMP;4330702.0;5111450.0;16793.0;457.397;1628;40.41;True
100362462;HUIL VEGET 1,5L DINOR;HUILES PALM VEGETALE;4003391.0;4724125.0;2715.0;73.949;976;40.62;True
100070223;BOISS ENERG 250ML RED BULL;ENERGETIQUES(atlon...);3978043.0;4693950.0;5041.0;137.304;392;40.84;True
030002155;BOISS GAZ OR BTE 33CL FANTA;ORANGE (fanta,,,);3918313.0;4623375.0;14697.0;400.307;517;41.05;True
100367350;PAIN CHOCO 20%PB 60G 200/C 56/P NEU;pains au chocolat;3865617.0;4561200.0;11403.0;310.588;4265;41.25;True
100334422;HUIL VEGET 5L AYA;HUILES PALM VEGETALE;3823559.0;4512133.0;772.0;21.027;522;41.46;True
010010051;FARINE PATISSE 1KG T45 GMA;FARIN MENAG T55/PATIS T45;3817750.0;3817750.0;6148.0;167.455;979;41.66;True
