ean;label;department;avg_weekly_sales;stock;current_ordered_quantity;ordering_unit;quantity_proposed;product_id
100313532;BOISS ENERG 25CL CODY S;ENERGETIQUES(atlon...);5122.774;0.0;0.0;24.0;7704.0;c2855111-7249-4e22-8ffa-3f8101768120
100025051;SUCRE PDRE ROUX SCHT 1KG SUCAF;SUCRE SEMOULE ROUX;1969.533;0.0;0.0;25.0;2975.0;80e2955c-c920-42cb-854e-be95e792ddaa
100017247;SUCRE PDRE BLC SCHT 1KG SUCAF;SUCRES SEMOULE BLANC;1649.167;0.0;0.0;25.0;2475.0;38eb5edd-8e01-493c-b29b-d2e930b04c2c
030002262;BOISS GAZ BTE 33CL COCA COLA;COLAS (coca cola pepsi..);1355.331;0.0;0.0;24.0;2040.0;a5a06dc8-7526-40d1-aa65-486bc5355182
100438049;BIERE CITRUS VODKA TAST 5,9% CODY'S;BIERE BLONDE LOCAL BLLE;818.101;20.0;0.0;24.0;1224.0;87489963-14f4-4d36-bdbe-a335705f5471
100313542;BIERE BLNDE 5,4% CANS 50CL CODY S;BIERE BLONDE LOCAL BLLE;772.86;0.0;0.0;24.0;1176.0;be66a90b-a82c-4954-9481-57dfb9688d5b
100174738;BIERE BLNDE LAGER 25CL BEAUFORT;BIERE BLONDE IMPORT BLLE;726.066;0.0;0.0;24.0;1104.0;7460bb30-4920-4fde-a16e-2199fb382414
100045267;LAIT C N S 150G BONNET ROUGE;LAIT CONCENTRE NON SUCRE;579.257;0.0;0.0;48.0;912.0;d0878d24-ec9d-430d-a4d7-15415f13c694
100306691;RIZ RIZIERE LG VIET PARF 5KG;RIZ LONG 0% BRISURE;100.942;0.0;0.0;5.0;155.0;ea01ed24-a1e6-4eaf-8584-2fef4e7becbe
100328033;HUIL VEGET 25L AYA;HUILES PALM VEGETALE;44.397;0.0;0.0;1.0;67.0;d4955aa1-2158-4f19-961d-93df273c816c
017017573;HUIL VEGET 20L DINOR;HUILES PALM VEGETALE;26.012;0.0;0.0;1.0;40.0;ec89c85c-c708-4749-8eca-03802013a825
100407096;CROQ CHN MANGINE 20KG VINCENT;ALIMENTS SECS CHIENS;21.245;0.0;0.0;1.0;32.0;64412952-4348-42d9-b6da-3381d91e3614
